UF,ref_city,ref_prefix_i,ref_prefix_f,ref_latitude,ref_longiitude,ref_state
ac,acrelandia,69945,69949,"-10,07379389","-67,05231658",acre
ac,assis brasil,69935,69939,"-10,94286568","-69,56345917",acre
ac,brasileia,69932,69933,"-11,01641102","-68,74794343",acre
ac,bujari,69926,69926,"-9,820019627","-67,95185928",acre
ac,capixaba,69931,69931,"-10,56976771","-67,67350797",acre
ac,cruzeiro do sul,69980,69981,"-7,630690005","-72,67253132",acre
ac,epitaciolandia,69934,69934,"-11,02823983","-68,74486807",acre
ac,feijo,69960,69969,"-8,16024753","-70,35398361",acre
ac,jordao,69975,69979,"-9,19335786","-71,95087512",acre
ac,mancio lima,69990,69999,"-7,593222594","-72,91650103",acre
ac,manoel urbano,69950,69954,"-8,836317737","-69,25994458",acre
ac,marechal thaumaturgo,69983,69984,"-8,953591123","-72,79026591",acre
ac,placido de castro,69928,69929,"-10,33513328","-67,18826009",acre
ac,porto acre,69927,69927,"-9,600858231","-67,54059008",acre
ac,porto walter,69982,69982,"-8,266666363","-72,74233396",acre
ac,rio branco,69900,69924,"-9,978298753","-67,8105287",acre
ac,rio branco,69900,69923,"-9,978298753","-67,8105287",acre
ac,rodrigues alves,69985,69989,"-7,733602034","-72,64785491",acre
ac,santa rosa do purus,69955,69959,"-9,443406537","-70,48649689",acre
ac,sena madureira,69940,69944,"-9,065339505","-68,65568406",acre
ac,senador guiomard,69925,69925,"-10,14817359","-67,74317236",acre
ac,tarauaca,69970,69974,"-8,155668592","-70,75550106",acre
ac,xapuri,69930,69930,"-10,65207194","-68,50629481",acre
al,agua branca,57490,57499,"-9,267025497","-37,94071518",alagoas
al,anadia,57660,57669,"-9,684083785","-36,30081357",alagoas
al,arapiraca,57300,57319,"-9,755907011","-36,65729651",alagoas
al,arapiraca,57300,57317,"-9,755907011","-36,65729651",alagoas
al,atalaia,57690,57699,"-9,501386747","-36,02142732",alagoas
al,barra de santo antonio,57925,57929,"-9,409278109","-35,5002981",alagoas
al,barra de sao miguel,57180,57199,"-9,838998252","-35,90744987",alagoas
al,batalha,57420,57424,"-9,674593028","-37,12709189",alagoas
al,belem,57630,57634,"-9,568648231","-36,49449799",alagoas
al,belo monte,57435,57439,"-9,826988855","-37,27843866",alagoas
al,boca da mata,57680,57689,"-9,645144567","-36,2117249",alagoas
al,branquinha,57830,57839,"-9,246583108","-36,02003353",alagoas
al,cacimbinhas,57570,57579,"-9,405162751","-36,99686963",alagoas
al,cajueiro,57770,57779,"-9,389660575","-36,15637859",alagoas
al,campestre,57968,57969,"-8,848375353","-35,56671773",alagoas
al,campo alegre,57250,57254,"-9,783416039","-36,35243475",alagoas
al,campo grande,57350,57359,"-9,956922603","-36,79084005",alagoas
al,canapi,57530,57534,"-9,117380298","-37,60564715",alagoas
al,capela,57780,57799,"-9,412931556","-36,07500849",alagoas
al,carneiros,57535,57539,"-9,480679721","-37,37475042",alagoas
al,cha preta,57760,57769,"-9,261422459","-36,29938145",alagoas
al,coite do noia,57325,57329,"-9,638487271","-36,5796842",alagoas
al,colonia leopoldina,57975,57979,"-8,91268827","-35,71978086",alagoas
al,coqueiro seco,57140,57149,"-9,637554271","-35,795363",alagoas
al,coruripe,57230,57239,"-10,12654725","-36,17607831",alagoas
al,craibas,57320,57324,"-9,619933797","-36,7723914",alagoas
al,delmiro gouveia,57480,57489,"-9,384574447","-37,99923349",alagoas
al,dois riachos,57560,57569,"-9,385670812","-37,08984965",alagoas
al,estrela de alagoas,57625,57629,"-9,387405307","-36,75833311",alagoas
al,estrela de alagoas,57625,57627,"-9,387405307","-36,75833311",alagoas
al,feira grande,57340,57349,"-9,900437199","-36,6776855",alagoas
al,feliz deserto,57220,57229,"-10,29238062","-36,30718752",alagoas
al,flexeiras,57995,57999,"-9,27323546","-35,72437164",alagoas
al,girau do ponciano,57360,57369,"-9,887364152","-36,8303139",alagoas
al,ibateguara,57890,57899,"-8,976985218","-35,93118446",alagoas
al,igaci,57620,57624,"-9,533688659","-36,62815972",alagoas
al,igreja nova,57280,57289,"-10,12929884","-36,65334501",alagoas
al,inhapi,57545,57549,"-9,223898773","-37,75263652",alagoas
al,jacare dos homens,57430,57434,"-9,636658828","-37,20783341",alagoas
al,jacuipe,57960,57964,"-8,840300508","-35,46099751",alagoas
al,japaratinga,57950,57954,"-9,088974354","-35,25865835",alagoas
al,jaramataia,57425,57429,"-9,658351939","-37,00359591",alagoas
al,jequia da praia,57255,57256,"-10,00959189","-36,02733404",alagoas
al,joaquim gomes,57980,57989,"-9,135979146","-35,74903026",alagoas
al,jundia,57965,57967,"-8,938876754","-35,5555973",alagoas
al,junqueiro,57270,57274,"-9,93161039","-36,47152182",alagoas
al,lagoa da canoa,57330,57339,"-9,830875657","-36,73578926",alagoas
al,limoeiro de anadia,57260,57264,"-9,738613168","-36,50389709",alagoas
al,maceio,57000,57099,"-9,660822152","-35,70162991",alagoas
al,major isidoro,57580,57599,"-9,526644068","-36,98479961",alagoas
al,mar vermelho,57730,57739,"-9,447772643","-36,38504002",alagoas
al,maragogi,57955,57959,"-9,015456486","-35,22301541",alagoas
al,maravilha,57520,57524,"-9,233997063","-37,35663542",alagoas
al,marechal deodoro,57160,57179,"-9,739155702","-35,8930687",alagoas
al,maribondo,57670,57679,"-9,577249956","-36,3066029",alagoas
al,mata grande,57540,57544,"-9,114806258","-37,72522406",alagoas
al,matriz de camaragibe,57910,57919,"-9,158525825","-35,53355483",alagoas
al,messias,57990,57994,"-9,391812225","-35,8403783",alagoas
al,minador do negrao,57615,57619,"-9,303683261","-36,86491577",alagoas
al,monteiropolis,57440,57441,"-9,602327539","-37,2452721",alagoas
al,murici,57820,57829,"-9,316301144","-35,94755559",alagoas
al,novo lino,57970,57974,"-8,943158808","-35,66096372",alagoas
al,olho dagua das flores,57442,57444,,,
al,olho dagua do casado,57470,57474,,,
al,olho dagua grande,57390,57399,,,
al,olivenca,57550,57559,"-9,519456483","-37,19081872",alagoas
al,ouro branco,57525,57529,"-9,163415364","-37,35444373",alagoas
al,palestina,57410,57419,"-9,673097186","-37,33113645",alagoas
al,palmeira dos indios,57600,57614,"-9,406158798","-36,6309841",alagoas
al,palmeira dos indios,57600,57609,"-9,406158798","-36,6309841",alagoas
al,pao de acucar,57400,57409,"-9,74704185","-37,43513886",alagoas
al,pariconha,57475,57479,"-9,257884385","-38,00982607",alagoas
al,paripueira,57935,57939,"-9,466313478","-35,55910518",alagoas
al,passo de camaragibe,57930,57934,"-9,244846658","-35,49127526",alagoas
al,paulo jacinto,57740,57749,"-9,373364382","-36,37274209",alagoas
al,penedo,57200,57209,"-10,2961103","-36,58046021",alagoas
al,piacabucu,57210,57219,"-10,40736243","-36,43435201",alagoas
al,pilar,57150,57159,"-9,606894293","-35,94851752",alagoas
al,pindoba,57720,57729,"-9,4762108","-36,28654064",alagoas
al,piranhas,57460,57469,"-9,6235592","-37,75039291",alagoas
al,poco das trincheiras,57510,57514,"-9,302913655","-37,27929805",alagoas
al,porto calvo,57900,57909,"-9,052448314","-35,39833446",alagoas
al,porto de pedras,57945,57949,"-9,156086163","-35,29701522",alagoas
al,porto real do colegio,57290,57299,"-10,17373256","-36,82462929",alagoas
al,quebrangulo,57750,57759,"-9,323547055","-36,47722208",alagoas
al,rio largo,57100,57119,"-9,486157608","-35,85242231",alagoas
al,roteiro,57257,57259,"-9,83218949","-35,98121022",alagoas
al,santa luzia do norte,57130,57139,"-9,596767742","-35,82348777",alagoas
al,santana do ipanema,57500,57509,"-9,372284363","-37,24540702",alagoas
al,santana do mundau,57840,57859,"-9,165033221","-36,22523412",alagoas
al,sao bras,57380,57389,"-10,12031","-36,89894866",alagoas
al,sao jose da laje,57860,57889,"-9,011065882","-36,05738773",alagoas
al,sao jose da tapera,57445,57459,"-9,54939574","-37,38370777",alagoas
al,sao luis do quitunde,57920,57924,"-9,314117369","-35,56549084",alagoas
al,sao miguel dos campos,57240,57249,"-9,779934576","-36,09426427",alagoas
al,sao miguel dos milagres,57940,57944,"-9,267186295","-35,36911933",alagoas
al,sao sebastiao,57275,57279,"-9,931657389","-36,5510919",alagoas
al,satuba,57120,57129,"-9,569427868","-35,82854023",alagoas
ba,canapolis,47730,47739,"-13,0759115","-44,20502899",bahia
ba,canarana,44890,44894,"-11,68758331","-41,76549223",bahia
ba,canavieiras,45860,45864,"-15,67977748","-38,94737587",bahia
ba,candeal,48710,48719,"-11,80497023","-39,1237185",bahia
ba,candeias,43800,43849,"-12,67192271","-38,54359627",bahia
ba,candeias,43800,43839,"-12,67192271","-38,54359627",bahia
ba,candiba,46380,46389,"-14,4131865","-42,86440234",bahia
ba,candido sales,45157,45159,"-15,50606635","-41,24111759",bahia
ba,cansancao,48840,48849,"-10,66674991","-39,49660501",bahia
ba,canudos,48520,48539,"-9,890672961","-39,02407124",bahia
ba,capela do alto alegre,44645,44649,"-11,67008164","-39,83535531",bahia
ba,capim grosso,44695,44695,"-11,38157446","-40,01100061",bahia
ba,capim grosso,44820,44829,"-11,38157446","-40,01100061",bahia
ba,capim grosso,44820,44827,"-11,38157446","-40,01100061",bahia
ba,caraibas,45177,45179,"-14,72206949","-41,26543132",bahia
ba,caravelas,45900,45909,"-17,73337053","-39,25338222",bahia
ba,cardeal da silva,48390,48399,"-11,94076741","-37,94547658",bahia
ba,carinhanha,46445,46445,"-14,3020069","-43,7617772",bahia
ba,casa nova,47300,47349,"-9,178594574","-40,97579693",bahia
ba,castro alves,44500,44519,"-12,76583264","-39,42651943",bahia
ba,catolandia,47845,47849,"-12,31600594","-44,85977028",bahia
ba,catolandia,47845,47846,"-12,31600594","-44,85977028",bahia
ba,catu,48110,48119,"-12,35518656","-38,3762943",bahia
ba,caturama,46575,46579,"-13,32820135","-42,29640664",bahia
ba,central,44940,44949,"-11,13798858","-42,11234898",bahia
al,senador rui palmeira,57515,57519,"-9,463391449","-37,45364625",alagoas
al,tanque darca,57635,57639,,,
al,taquarana,57640,57659,"-9,642320105","-36,49676769",alagoas
al,teotonio vilela,57265,57269,"-9,907497883","-36,35556314",alagoas
al,teotonio vilela,57265,57269,"-9,907497883","-36,35556314",alagoas
al,traipu,57370,57379,"-9,971059382","-37,00600567",alagoas
al,uniao dos palmares,57800,57819,"-9,159524117","-36,03314284",alagoas
al,vicosa,57700,57719,"-9,377054354","-36,2483932",alagoas
am,alvaraes,69540,69549,"-3,216583769","-64,81353468",amazonas
am,amatura,69620,69629,"-3,366805188","-68,20961464",amazonas
am,anama,69445,69449,"-3,576370427","-61,40590348",amazonas
am,anori,69440,69444,"-3,745385586","-61,65895538",amazonas
am,apui,69265,69279,"-7,197870152","-59,8856661",amazonas
am,atalaia do norte,69650,69659,"-4,36615749","-70,18798928",amazonas
am,autazes,69240,69249,"-3,578663642","-59,13356709",amazonas
am,barcelos,69700,69729,"-,972801053","-62,92566966",amazonas
am,barreirinha,69160,69179,"-2,798149837","-57,06775049",amazonas
am,benjamin constant,69630,69639,"-4,374989019","-70,02734843",amazonas
am,beruri,69430,69434,"-3,89451341","-61,37157089",amazonas
am,boa vista do ramos,69195,69199,"-2,971726532","-57,58770735",amazonas
am,boca do acre,69850,69859,"-8,751243196","-67,39957776",amazonas
am,borba,69200,69229,"-4,390619891","-59,59455902",amazonas
am,caapiranga,69425,69429,"-3,330093392","-61,21133413",amazonas
am,canutama,69820,69829,"-6,529106076","-64,39423082",amazonas
am,carauari,69500,69509,"-4,881665904","-66,89663528",amazonas
am,careiro,69250,69254,"-3,82244727","-60,36380984",amazonas
am,careiro da varzea,69255,69259,"-3,197396595","-59,82631406",amazonas
am,coari,69460,69469,"-4,084219159","-63,14218398",amazonas
am,codajas,69450,69459,"-3,843045933","-62,06342966",amazonas
am,eirunepe,69880,69889,"-6,667352567","-69,86629026",amazonas
am,envira,69870,69879,"-7,439817544","-70,03041254",amazonas
am,fonte boa,69670,69679,"-2,512270685","-66,09650299",amazonas
am,guajara,69895,69899,"-7,547774415","-72,58243054",amazonas
am,humaita,69800,69819,"-7,512224951","-63,02669802",amazonas
am,ipixuna,69890,69894,"-7,050980114","-71,69441806",amazonas
am,iranduba,69415,69424,"-3,281053878","-60,19338817",amazonas
am,itacoatiara,69100,69113,"-3,140378804","-58,44017544",amazonas
am,itacoatiara,69100,69109,"-3,140378804","-58,44017544",amazonas
am,itamarati,69510,69519,"-6,437799349","-68,24791744",amazonas
am,itapiranga,69120,69129,"-2,741842752","-58,03454588",amazonas
am,japura,69495,69499,"-1,880844859","-66,99690349",amazonas
am,jurua,69520,69529,"-3,474889599","-66,06304193",amazonas
am,jutai,69660,69669,"-2,744646447","-66,77132755",amazonas
am,labrea,69830,69849,"-7,261946553","-64,79477303",amazonas
am,manacapuru,69400,69414,"-3,298278035","-60,62058945",amazonas
am,manacapuru,69400,69409,"-3,298278035","-60,62058945",amazonas
am,manaquiri,69435,69439,"-3,429079669","-60,45888131",amazonas
am,manaus,69000,69099,"-3,134691491","-60,02333518",amazonas
am,manicore,69280,69299,"-5,813205261","-61,29924841",amazonas
am,maraa,69490,69494,"-1,866436877","-65,5742837",amazonas
am,maues,69190,69194,"-3,386427926","-57,71503439",amazonas
am,nhamunda,69140,69149,"-2,188983767","-56,71676991",amazonas
am,nova olinda do norte,69230,69239,"-3,887592832","-59,09307403",amazonas
am,novo airao,69730,69734,"-2,623432459","-60,94881071",amazonas
am,novo aripuana,69260,69264,"-5,122669314","-60,37704567",amazonas
am,parintins,69150,69159,"-2,627052586","-56,73629215",amazonas
am,parintins,69150,69157,"-2,627052586","-56,73629215",amazonas
am,pauini,69860,69869,"-7,714043644","-67,00209749",amazonas
am,presidente figueiredo,69735,69739,"-2,058429085","-60,02564683",amazonas
am,rio preto da eva,69117,69119,"-2,693301542","-59,70473809",amazonas
am,santa isabel do rio negro,69740,69749,"-,416694832","-65,02002264",amazonas
am,santo antonio do ica,69680,69684,"-3,107486309","-67,94648514",amazonas
am,sao gabriel da cachoeira,69750,69799,"-,136462788","-67,0836429",amazonas
am,sao paulo de olivenca,69600,69619,"-3,466509623","-68,94485349",amazonas
am,sao sebastiao do uatuma,69135,69139,"-2,57015258","-57,87034636",amazonas
am,silves,69114,69116,"-2,83642743","-58,21480086",amazonas
am,tabatinga,69640,69649,"-4,231883676","-69,94624438",amazonas
am,tapaua,69480,69484,"-5,624223518","-63,18709487",amazonas
am,tefe,69550,69559,"-3,348372494","-64,70841966",amazonas
am,tefe,69550,69558,"-3,348372494","-64,70841966",amazonas
am,tonantins,69685,69699,"-2,86109125","-67,77648228",amazonas
am,uarini,69530,69539,"-2,983609243","-65,15534564",amazonas
am,urucara,69130,69134,"-2,536611672","-57,75982817",amazonas
am,urucurituba,69180,69189,"-3,134633116","-58,15964104",amazonas
ap,amapa,68950,68959,"2,053921245","-50,79321447",amapa
ap,calcoene,68960,68972,"2,496559045","-50,94477273",amapa
ap,cutias,68973,68975,",971078055","-50,80162603",amapa
ap,ferreira gomes,68915,68917,",853977393","-51,18742905",amapa
ap,itaubal,68976,68979,",600653288","-50,70017944",amapa
ap,laranjal do jari,68920,68923,"-,8556645","-52,53902074",amapa
ap,macapa,68900,68914,",03895101","-51,05740546",amapa
ap,macapa,68900,68911,",03895101","-51,05740546",amapa
ap,mazagao,68940,68944,"-,124396329","-51,28607686",amapa
ap,oiapoque,68980,68989,"3,851130733","-51,83055256",amapa
ap,pedra branca do amapari,68945,68947,",776882861","-51,94659427",amapa
ap,porto grande,68997,68999,",712554702","-51,41444882",amapa
ap,pracuuba,68918,68919,"1,742508487","-50,78425372",amapa
ap,santana,68925,68939,"-,038373479","-51,17284647",amapa
ap,serra do navio,68948,68949,",897841041","-52,00353844",amapa
ap,tartarugalzinho,68990,68996,"1,50984824","-50,91278615",amapa
ap,vitoria do jari,68924,68924,"-,918977089","-52,41961478",amapa
